Kategorie: Alle Kategorien

Woche,random forest: (Weltweit),xgboost: (Weltweit)
2021-06-06,69,48
2021-06-13,66,42
2021-06-20,68,47
2021-06-27,67,48
2021-07-04,67,46
2021-07-11,63,41
2021-07-18,63,44
2021-07-25,60,45
2021-08-01,64,43
2021-08-08,56,46
2021-08-15,62,41
2021-08-22,62,39
2021-08-29,54,41
2021-09-05,56,41
2021-09-12,62,43
2021-09-19,59,43
2021-09-26,61,44
2021-10-03,57,45
2021-10-10,69,47
2021-10-17,69,51
2021-10-24,84,47
2021-10-31,74,46
2021-11-07,75,51
2021-11-14,75,52
2021-11-21,86,50
2021-11-28,88,56
2021-12-05,100,58
2021-12-12,80,60
2021-12-19,56,38
2021-12-26,45,30
2022-01-02,63,41
2022-01-09,59,44
2022-01-16,67,51
2022-01-23,64,47
2022-01-30,65,46
2022-02-06,69,52
2022-02-13,74,47
2022-02-20,73,56
2022-02-27,79,47
2022-03-06,72,52
2022-03-13,80,47
2022-03-20,84,54
2022-03-27,86,60
2022-04-03,79,52
2022-04-10,77,44
2022-04-17,77,60
2022-04-24,77,56
2022-05-01,84,50
2022-05-08,91,59
2022-05-15,81,55
2022-05-22,79,52
2022-05-29,66,34
