Kategorie: Alle Kategorien

Woche,socratic questioning: (Weltweit),deeper thinking: (Weltweit),critical thinking actions: (Weltweit),structured critical reasoning: (Weltweit)
2021-06-06,54,36,6,0
2021-06-13,71,6,6,0
2021-06-20,67,15,3,0
2021-06-27,51,27,15,0
2021-07-04,52,12,3,0
2021-07-11,62,6,0,0
2021-07-18,99,10,13,0
2021-07-25,59,6,0,0
2021-08-01,46,15,3,0
2021-08-08,47,16,6,0
2021-08-15,34,12,12,0
2021-08-22,39,20,10,0
2021-08-29,64,25,16,0
2021-09-05,85,13,0,0
2021-09-12,88,42,3,0
2021-09-19,79,39,7,0
2021-09-26,98,35,6,0
2021-10-03,71,32,26,0
2021-10-10,93,43,7,0
2021-10-17,71,29,13,0
2021-10-24,80,26,19,0
2021-10-31,50,43,20,0
2021-11-07,84,38,6,0
2021-11-14,96,19,13,0
2021-11-21,48,22,3,0
2021-11-28,59,9,6,0
2021-12-05,71,39,13,0
2021-12-12,77,33,3,0
2021-12-19,32,11,0,0
2021-12-26,28,11,7,0
2022-01-02,73,13,10,0
2022-01-09,89,33,13,0
2022-01-16,66,26,7,0
2022-01-23,56,23,13,0
2022-01-30,86,27,3,0
2022-02-06,89,27,17,0
2022-02-13,88,20,17,0
2022-02-20,50,33,10,0
2022-02-27,100,20,10,0
2022-03-06,81,10,3,0
2022-03-13,69,13,26,0
2022-03-20,82,24,7,0
2022-03-27,92,38,6,0
2022-04-03,57,24,12,0
2022-04-10,70,10,10,0
2022-04-17,42,6,13,0
2022-04-24,39,26,13,0
2022-05-01,45,13,10,0
2022-05-08,77,16,6,0
2022-05-15,64,40,9,0
2022-05-22,82,20,13,0
2022-05-29,68,15,0,0
