Kategorie: Alle Kategorien

Woche,regular expressions: (Weltweit),html parsing: (Weltweit),dom parsing: (Weltweit),http programming: (Weltweit),semantic annotation recognizing: (Weltweit)
2021-06-06,71,9,0,10,0
2021-06-13,72,8,0,6,0
2021-06-20,67,9,1,10,0
2021-06-27,72,15,2,11,0
2021-07-04,59,9,1,8,0
2021-07-11,76,4,4,13,0
2021-07-18,70,12,1,8,0
2021-07-25,84,6,3,14,0
2021-08-01,60,9,1,14,0
2021-08-08,58,9,0,10,0
2021-08-15,58,14,3,12,0
2021-08-22,64,4,0,17,0
2021-08-29,72,6,1,11,0
2021-09-05,81,8,1,6,0
2021-09-12,86,8,2,10,0
2021-09-19,79,9,0,11,0
2021-09-26,69,4,1,8,0
2021-10-03,71,5,1,9,0
2021-10-10,70,3,1,15,0
2021-10-17,90,5,4,10,0
2021-10-24,87,7,0,16,0
2021-10-31,84,3,0,7,0
2021-11-07,87,10,2,12,0
2021-11-14,87,16,1,8,0
2021-11-21,77,9,0,14,0
2021-11-28,87,7,4,12,0
2021-12-05,82,14,1,10,0
2021-12-12,77,11,2,9,0
2021-12-19,50,6,1,6,0
2021-12-26,54,6,0,6,0
2022-01-02,60,12,2,6,0
2022-01-09,78,11,3,15,0
2022-01-16,79,9,4,7,0
2022-01-23,66,13,1,16,0
2022-01-30,88,9,1,10,0
2022-02-06,91,6,0,10,0
2022-02-13,86,8,2,12,0
2022-02-20,97,11,1,7,0
2022-02-27,76,12,1,12,0
2022-03-06,91,9,1,7,0
2022-03-13,100,9,3,10,0
2022-03-20,86,15,3,6,0
2022-03-27,78,10,0,13,0
2022-04-03,84,18,0,14,0
2022-04-10,74,10,1,7,0
2022-04-17,59,12,0,6,0
2022-04-24,80,6,2,16,0
2022-05-01,78,14,5,8,0
2022-05-08,70,14,4,11,0
2022-05-15,74,16,1,11,0
2022-05-22,75,11,4,8,0
2022-05-29,53,11,4,0,0
